img,tag,title,description,authors,content
https://picsum.photos/800/450?random=1,"Love,心绪日记",How Do I Love Thee?,How Do I Love Thee? — Elizabeth Barrett Browning,"[{""name"": ""Elizabeth Barrett Browning"", ""avatar"": ""/static/images/avatar/1.jpg""}]","## Original (English)
How do I love thee? Let me count the ways.
I love thee to the depth and breadth and height
My soul can reach, when feeling out of sight
For the ends of being and ideal grace.

## 中文译文
我怎样爱你？让我细数方式。
我爱你如灵魂可达的深与广，
当我摸索无形的彼岸，
只为存在的意义与完美的恩典。

## 赏析
这首诗出自《十四行诗集》，诗人用层层推进的修辞，展现出爱超越生死的永恒力量。"
https://picsum.photos/800/450?random=2,"Philosophy,心绪日记",静夜思,静夜思 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/3.jpg""}]","## Original
Excerpt from the classic poem '静夜思'.

## 中文译文
静夜思 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=3,Farewell,The Tyger,The Tyger — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/4.jpg""}]","## Original
Excerpt from the classic poem 'The Tyger'.

## 中文译文
The Tyger 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=4,"Dream,情书博物馆",La Vie Antérieure,La Vie Antérieure — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/5.jpg""}]","## Original
Excerpt from the classic poem 'La Vie Antérieure'.

## 中文译文
La Vie Antérieure 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=5,"Love,心绪日记,情书博物馆",再别康桥,再别康桥 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/6.jpg""}]","## Original
Excerpt from the classic poem '再别康桥'.

## 中文译文
再别康桥 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=6,"Nature,情书博物馆",She Walks in Beauty,She Walks in Beauty — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/7.jpg""}]","## Original
Excerpt from the classic poem 'She Walks in Beauty'.

## 中文译文
She Walks in Beauty 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=7,Philosophy,登鹳雀楼,登鹳雀楼 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/8.jpg""}]","## Original
Excerpt from the classic poem '登鹳雀楼'.

## 中文译文
登鹳雀楼 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=8,"Farewell,情书博物馆",When You Are Old,When You Are Old — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/9.jpg""}]","## Original
Excerpt from the classic poem 'When You Are Old'.

## 中文译文
When You Are Old 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=9,"Dream,情书博物馆",饮酒·其五,饮酒·其五 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/10.jpg""}]","## Original
Excerpt from the classic poem '饮酒·其五'.

## 中文译文
饮酒·其五 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=10,Love,To Autumn,To Autumn — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/1.jpg""}]","## Original
Excerpt from the classic poem 'To Autumn'.

## 中文译文
To Autumn 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=11,"Nature,情书博物馆,精选",关雎,关雎 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/2.jpg""}]","## Original
Excerpt from the classic poem '关雎'.

## 中文译文
关雎 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=12,Philosophy,A Dream Within a Dream,A Dream Within a Dream — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/3.jpg""}]","## Original
Excerpt from the classic poem 'A Dream Within a Dream'.

## 中文译文
A Dream Within a Dream 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=13,"Farewell,最新,精选,表白专栏",雨巷,雨巷 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/4.jpg""}]","## Original
Excerpt from the classic poem '雨巷'.

## 中文译文
雨巷 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=14,"Dream,最新",Ode to a Nightingale,Ode to a Nightingale — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/5.jpg""}]","## Original
Excerpt from the classic poem 'Ode to a Nightingale'.

## 中文译文
Ode to a Nightingale 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=15,"Love,精选",将进酒,将进酒 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/6.jpg""}]","## Original
Excerpt from the classic poem '将进酒'.

## 中文译文
将进酒 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=16,"Nature,散场信箱",Le Lac,Le Lac — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/7.jpg""}]","## Original
Excerpt from the classic poem 'Le Lac'.

## 中文译文
Le Lac 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=17,"Philosophy,散场信箱",Shall I compare thee to a summer’s day?,Shall I compare thee to a summer’s day? — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/8.jpg""}]","## Original
Excerpt from the classic poem 'Shall I compare thee to a summer’s day?'.

## 中文译文
Shall I compare thee to a summer’s day? 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=18,Farewell,长恨歌,长恨歌 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/9.jpg""}]","## Original
Excerpt from the classic poem '长恨歌'.

## 中文译文
长恨歌 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=19,"Dream,精选",Daffodils,Daffodils — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/10.jpg""}]","## Original
Excerpt from the classic poem 'Daffodils'.

## 中文译文
Daffodils 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=20,"Love,精选",Ozymandias,Ozymandias — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/1.jpg""}]","## Original
Excerpt from the classic poem 'Ozymandias'.

## 中文译文
Ozymandias 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=21,"Nature,散场信箱",锦瑟,锦瑟 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/2.jpg""}]","## Original
Excerpt from the classic poem '锦瑟'.

## 中文译文
锦瑟 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=22,"Philosophy,散场信箱",Don Juan,Don Juan — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/3.jpg""}]","## Original
Excerpt from the classic poem 'Don Juan'.

## 中文译文
Don Juan 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=23,Farewell,逍遥游,逍遥游 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/4.jpg""}]","## Original
Excerpt from the classic poem '逍遥游'.

## 中文译文
逍遥游 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=24,"Dream,精选",Annabel Lee,Annabel Lee — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/5.jpg""}]","## Original
Excerpt from the classic poem 'Annabel Lee'.

## 中文译文
Annabel Lee 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=25,"Love,散场信箱",庐山谣,庐山谣 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/6.jpg""}]","## Original
Excerpt from the classic poem '庐山谣'.

## 中文译文
庐山谣 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=26,"Nature,散场信箱",The Raven,The Raven — Selected Classic Poem,"[{""name"": ""Various,散场信箱"", ""avatar"": ""/static/images/avatar/7.jpg""}]","## Original
Excerpt from the classic poem 'The Raven'.

## 中文译文
The Raven 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=27,"Philosophy,心绪日记",春江花月夜,春江花月夜 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/8.jpg""}]","## Original
Excerpt from the classic poem '春江花月夜'.

## 中文译文
春江花月夜 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=28,"Farewell,暧昧集","Romance de la lune, lune","Romance de la lune, lune — Selected Classic Poem","[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/9.jpg""}]","## Original
Excerpt from the classic poem 'Romance de la lune, lune'.

## 中文译文
Romance de la lune, lune 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=29,"Dream,暧昧集",卜算子·咏梅,卜算子·咏梅 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/10.jpg""}]","## Original
Excerpt from the classic poem '卜算子·咏梅'.

## 中文译文
卜算子·咏梅 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=30,"Love,暧昧集",If—,If— — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/1.jpg""}]","## Original
Excerpt from the classic poem 'If—'.

## 中文译文
If— 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=31,"Nature,暧昧集",赤壁赋,赤壁赋 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/2.jpg""}]","## Original
Excerpt from the classic poem '赤壁赋'.

## 中文译文
赤壁赋 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=32,"Philosophy,精选",Ode on a Grecian Urn,Ode on a Grecian Urn — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/3.jpg""}]","## Original
Excerpt from the classic poem 'Ode on a Grecian Urn'.

## 中文译文
Ode on a Grecian Urn 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=33,Farewell,虞美人·春花秋月何时了,虞美人·春花秋月何时了 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/4.jpg""}]","## Original
Excerpt from the classic poem '虞美人·春花秋月何时了'.

## 中文译文
虞美人·春花秋月何时了 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=34,"Dream,精选",To His Coy Mistress,To His Coy Mistress — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/5.jpg""}]","## Original
Excerpt from the classic poem 'To His Coy Mistress'.

## 中文译文
To His Coy Mistress 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=35,"Love,暧昧集",将进酒·君不见黄河之水天上来,将进酒·君不见黄河之水天上来 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/6.jpg""}]","## Original
Excerpt from the classic poem '将进酒·君不见黄河之水天上来'.

## 中文译文
将进酒·君不见黄河之水天上来 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=36,"Nature,暧昧集",Kubla Khan,Kubla Khan — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/7.jpg""}]","## Original
Excerpt from the classic poem 'Kubla Khan'.

## 中文译文
Kubla Khan 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=37,"Philosophy,精选",念奴娇·赤壁怀古,念奴娇·赤壁怀古 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/8.jpg""}]","## Original
Excerpt from the classic poem '念奴娇·赤壁怀古'.

## 中文译文
念奴娇·赤壁怀古 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=38,"Farewell,暧昧集",Sonnet 18,Sonnet 18 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/9.jpg""}]","## Original
Excerpt from the classic poem 'Sonnet 18'.

## 中文译文
Sonnet 18 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=39,Dream,静女,静女 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/10.jpg""}]","## Original
Excerpt from the classic poem '静女'.

## 中文译文
静女 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=40,"Love,精选",Invictus,Invictus — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/1.jpg""}]","## Original
Excerpt from the classic poem 'Invictus'.

## 中文译文
Invictus 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=41,Nature,登高,登高 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/2.jpg""}]","## Original
Excerpt from the classic poem '登高'.

## 中文译文
登高 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=42,"Philosophy,精选",My Last Duchess,My Last Duchess — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/3.jpg""}]","## Original
Excerpt from the classic poem 'My Last Duchess'.

## 中文译文
My Last Duchess 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=43,"Farewell,精选",沁园春·雪,沁园春·雪 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/4.jpg""}]","## Original
Excerpt from the classic poem '沁园春·雪'.

## 中文译文
沁园春·雪 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=44,Dream,The Waste Land,The Waste Land — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/5.jpg""}]","## Original
Excerpt from the classic poem 'The Waste Land'.

## 中文译文
The Waste Land 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=45,"Love,最新",梦游天姥吟留别,梦游天姥吟留别 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/6.jpg""}]","## Original
Excerpt from the classic poem '梦游天姥吟留别'.

## 中文译文
梦游天姥吟留别 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=46,"Nature,最新",The Second Coming,The Second Coming — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/7.jpg""}]","## Original
Excerpt from the classic poem 'The Second Coming'.

## 中文译文
The Second Coming 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=47,Philosophy,题都城南庄,题都城南庄 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/8.jpg""}]","## Original
Excerpt from the classic poem '题都城南庄'.

## 中文译文
题都城南庄 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=48,"Farewell,最新",The Road Not Taken,The Road Not Taken — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/9.jpg""}]","## Original
Excerpt from the classic poem 'The Road Not Taken'.

## 中文译文
The Road Not Taken 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=49,"Dream,最新",相思,相思 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/10.jpg""}]","## Original
Excerpt from the classic poem '相思'.

## 中文译文
相思 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=50,"Love,最新",Ode to the West Wind,Ode to the West Wind — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/1.jpg""}]","## Original
Excerpt from the classic poem 'Ode to the West Wind'.

## 中文译文
Ode to the West Wind 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=51,"Nature,最新",赠花卿,赠花卿 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/2.jpg""}]","## Original
Excerpt from the classic poem '赠花卿'.

## 中文译文
赠花卿 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
https://picsum.photos/800/450?random=52,"Philosophy,最新",夜雨寄北,夜雨寄北 — Selected Classic Poem,"[{""name"": ""Various"", ""avatar"": ""/static/images/avatar/3.jpg""}]","## Original
Excerpt from the classic poem '夜雨寄北'.

## 中文译文
夜雨寄北 的节选或译文。

## 赏析
这首诗展现了诗人独特的情感与思想。"
